=== Simulacion de particulas ===

tiempo,x0,y0,x1,y1,x2,y2,x3,y3
0,100,100,400,200,600,400,200,500
0.05,106,104,395.5,205.5,603,396.5,205,495.5
0.1,112,108,391,211,606,393,210,491
0.15,118,112,386.5,216.5,609,389.5,215,486.5
0.2,124,116,382,222,612,386,220,482
0.25,130,120,377.5,227.5,615,382.5,225,477.5
0.3,136,124,373,233,618,379,230,474
0.35,142,128,368.5,238.5,621,375.5,235,477.6
0.4,148,132,364,244,624,372,240,481.2
0.45,154,136,359.5,249.5,627,368.5,245,484.8
0.5,160,140,355,255,630,365,250,488.4
0.55,166,144,350.5,260.5,633,361.5,255,492
0.6,172,148,346,266,636,358,260,495.6
0.65,178,152,341.5,271.5,639,354.5,265,499.2
0.7,184,156,337,277,642,351,270,502.8
0.75,190,160,332.5,282.5,645,347.5,275,506.4
0.8,190,164,328,288,648,344,280,510
0.85,185.8,168,323.5,293.5,651,340.5,285,513.6
0.9,181.6,172,319,299,654,337,290,517.2
0.95,177.4,176,314.5,304.5,657,333.5,295,520.8
1,173.2,180,310,310,660,330,300,524.4
1.05,169,184,305.5,315.5,663,326.5,305,528
1.1,164.8,188,301,321,666,323,310,531.6
1.15,160.6,192,296.5,326.5,669,319.5,315,535.2
1.2,156.4,196,292,332,672,316,320,538.8
1.25,152.2,200,287.5,337.5,675,312.5,325,542.4
1.3,148,204,283,343,678,309,330,546
1.35,143.8,208,278.5,348.5,681,305.5,335,549.6
1.4,139.6,212,274,354,684,302,340,553.2
1.45,135.4,216,269.5,359.5,687,298.5,345,556.8
1.5,131.2,220,265,365,690,295,350,560.4
1.55,127,224,260.5,370.5,693,291.5,355,564
1.6,122.8,228,256,376,696,288,360,567.6
1.65,118.6,232,251.5,381.5,699,284.5,365,571.2
1.7,114.4,236,247,387,702,281,370,574.8
1.75,110.2,240,242.5,392.5,705,277.5,375,578.4
1.8,106,244,242,398,708,274,380,582
1.85,101.8,248,245.6,403.5,711,270.5,385,585.6
1.9,97.6,252,249.2,409,714,267,390,586
1.95,93.4,256,252.8,414.5,717,263.5,395,582.4
2,89.2,260,256.4,420,720,260,400,578.8
2.05,85,264,260,425.5,723,256.5,405,575.2
2.1,80.8,268,263.6,431,726,253,410,571.6
2.15,76.6,272,267.2,436.5,729,249.5,415,568
2.2,72.4,276,270.8,442,732,246,420,564.4
2.25,68.2,280,274.4,447.5,735,242.5,425,560.8
2.3,64,284,278,453,738,239,430,557.2
2.35,59.8,288,281.6,458.5,741,235.5,435,553.6
2.4,55.6,292,285.2,464,744,232,440,550
2.45,51.4,296,288.8,469.5,747,228.5,445,546.4
2.5,47.2,300,292.4,475,750,225,450,542.8
2.55,43,304,296,480.5,753,221.5,455,539.2
2.6,38.8,308,299.6,486,756,218,460,535.6
2.65,34.6,312,303.2,491.5,759,214.5,465,532
2.7,30.4,316,306.8,497,762,211,470,528.4
2.75,26.2,320,310.4,502.5,765,207.5,475,524.8
2.8,22,324,314,508,768,204,480,521.2
2.85,17.8,328,317.6,513.5,771,200.5,485,517.6
2.9,13.6,332,321.2,519,774,197,490,514
2.95,10,336,324.8,524.5,777,193.5,495,510.4
